Timestamp,Agent,Action,Current Price
2024-10-05 17:47:21,Auctioneer,The current bid is $100. Do I hear any advance on $100?,100
2024-10-05 17:47:22,Buyer_0,bid,100
2024-10-05 17:47:22,Buyer_1,bid,100
2024-10-05 17:47:22,Buyer_2,bid,100
2024-10-05 17:47:22,Auctioneer,The current bid is $110. Do I hear any advance on $110?,110
2024-10-05 17:47:23,Buyer_0,bid,110
2024-10-05 17:47:23,Buyer_1,bid,110
2024-10-05 17:47:23,Buyer_2,bid,110
2024-10-05 17:47:23,Auctioneer,The current bid is $120. Do I hear any advance on $120?,120
2024-10-05 17:47:23,Buyer_0,bid,120
2024-10-05 17:47:24,Buyer_1,bid,120
2024-10-05 17:47:24,Buyer_2,bid,120
2024-10-05 17:47:24,Auctioneer,The current bid is $130. Do I hear any advance on $130?,130
2024-10-05 17:47:24,Buyer_0,bid,130
2024-10-05 17:47:25,Buyer_1,bid,130
2024-10-05 17:47:25,Buyer_2,bid,130
2024-10-05 17:47:25,Auctioneer,The current bid is $140. Do I hear any advance on $140?,140
2024-10-05 17:47:25,Buyer_0,bid,140
2024-10-05 17:47:26,Buyer_1,bid,140
2024-10-05 17:47:26,Buyer_2,bid,140
2024-10-05 17:47:26,Auctioneer,The current bid is $150. Do I hear any advance on $150?,150
2024-10-05 17:47:26,Buyer_0,bid,150
2024-10-05 17:47:27,Buyer_1,bid,150
2024-10-05 17:47:27,Buyer_2,bid,150
2024-10-05 17:47:27,Auctioneer,The current bid is $160. Do I hear any advance on $160?,160
2024-10-05 17:47:27,Buyer_0,bid,160
2024-10-05 17:47:27,Buyer_1,bid,160
2024-10-05 17:47:28,Buyer_2,bid,160
2024-10-05 17:47:28,Auctioneer,The current bid is $170. Do I hear any advance on $170?,170
2024-10-05 17:47:28,Buyer_0,bid,170
2024-10-05 17:47:28,Buyer_1,bid,170
2024-10-05 17:47:29,Buyer_2,bid,170
2024-10-05 17:47:29,Auctioneer,The current bid is $180. Do I hear any advance on $180?,180
2024-10-05 17:47:29,Buyer_0,bid,180
2024-10-05 17:47:29,Buyer_1,bid,180
2024-10-05 17:47:30,Buyer_2,bid,180
2024-10-05 17:47:30,Auctioneer,The current bid is $190. Do I hear any advance on $190?,190
2024-10-05 17:47:30,Buyer_0,bid,190
2024-10-05 17:47:30,Buyer_1,bid,190
2024-10-05 17:47:31,Buyer_2,bid,190
2024-10-05 17:47:31,Auctioneer,The current bid is $200. Do I hear any advance on $200?,200
2024-10-05 17:47:31,Buyer_0,bid,200
2024-10-05 17:47:31,Buyer_1,bid,200
2024-10-05 17:47:32,Buyer_2,bid,200
2024-10-05 17:47:32,Auctioneer,The current bid is $210. Do I hear any advance on $210?,210
2024-10-05 17:47:32,Buyer_0,bid,210
2024-10-05 17:47:32,Buyer_1,bid,210
2024-10-05 17:47:33,Buyer_2,bid,210
2024-10-05 17:47:33,Auctioneer,The current bid is $220. Do I hear any advance on $220?,220
2024-10-05 17:47:33,Buyer_0,bid,220
2024-10-05 17:47:33,Buyer_1,bid,220
2024-10-05 17:47:34,Buyer_2,bid,220
2024-10-05 17:47:34,Auctioneer,The current bid is $230. Do I hear any advance on $230?,230
2024-10-05 17:47:34,Buyer_0,bid,230
2024-10-05 17:47:34,Buyer_1,bid,230
2024-10-05 17:47:35,Buyer_2,Bid,230
2024-10-05 17:47:35,Auctioneer,The current bid is $240. Do I hear any advance on $240?,240
2024-10-05 17:47:35,Buyer_0,bid,240
2024-10-05 17:47:35,Buyer_1,bid,240
2024-10-05 17:47:36,Buyer_2,bid,240
2024-10-05 17:47:36,Auctioneer,The current bid is $250. Do I hear any advance on $250?,250
2024-10-05 17:47:36,Buyer_0,bid,250
2024-10-05 17:47:36,Buyer_1,bid,250
2024-10-05 17:47:37,Buyer_2,bid,250
2024-10-05 17:47:37,Auctioneer,The current bid is $260. Do I hear any advance on $260?,260
2024-10-05 17:47:37,Buyer_0,bid,260
2024-10-05 17:47:38,Buyer_1,bid,260
2024-10-05 17:47:38,Buyer_2,bid,260
2024-10-05 17:47:38,Auctioneer,The current bid is $270. Do I hear any advance on $270?,270
2024-10-05 17:47:38,Buyer_0,bid,270
