Timestamp,Agent,Action,Current Price
2024-11-30 23:36:26,Auctioneer,"The current bid is $42 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $42?",42
2024-11-30 23:36:27,Buyer_0,pass,42
2024-11-30 23:36:27,Buyer_1,pass,42
2024-11-30 23:36:28,Buyer_2,pass,42
2024-11-30 23:36:28,Buyer_3,pass,42
2024-11-30 23:36:29,Buyer_4,pass,42
2024-11-30 23:36:29,Buyer_5,pass,42
2024-11-30 23:36:30,Buyer_6,pass,42
2024-11-30 23:36:30,Buyer_7,pass,42
2024-11-30 23:36:30,Buyer_8,pass,42
2024-11-30 23:36:31,Buyer_9,pass,42
2024-11-30 23:36:31,Auctioneer,"The current bid is $41 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $41?",41
2024-11-30 23:36:31,Buyer_0,pass,41
2024-11-30 23:36:32,Buyer_1,pass,41
2024-11-30 23:36:32,Buyer_2,pass,41
2024-11-30 23:36:33,Buyer_3,pass,41
2024-11-30 23:36:33,Buyer_4,pass,41
2024-11-30 23:36:33,Buyer_5,pass,41
2024-11-30 23:36:34,Buyer_6,pass,41
2024-11-30 23:36:34,Buyer_7,pass,41
2024-11-30 23:36:35,Buyer_8,pass,41
2024-11-30 23:36:35,Buyer_9,pass,41
2024-11-30 23:36:35,Auctioneer,"The current bid is $40 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $40?",40
2024-11-30 23:36:36,Buyer_0,pass,40
2024-11-30 23:36:36,Buyer_1,pass,40
2024-11-30 23:36:37,Buyer_2,pass,40
2024-11-30 23:36:37,Buyer_3,pass,40
2024-11-30 23:36:38,Buyer_4,pass,40
2024-11-30 23:36:38,Buyer_5,pass,40
2024-11-30 23:36:39,Buyer_6,pass,40
2024-11-30 23:36:39,Buyer_7,pass,40
2024-11-30 23:36:39,Buyer_8,pass,40
2024-11-30 23:36:40,Buyer_9,bid,40
