Timestamp,Agent,Action,Current Price
2024-11-30 20:12:06,Auctioneer,"The current bid is $0 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $0?",0
2024-11-30 20:12:08,Buyer_0,bid,0
2024-11-30 20:12:08,Buyer_1,bid,0
2024-11-30 20:12:09,Buyer_2,bid,0
2024-11-30 20:12:09,Buyer_3,bid,0
2024-11-30 20:12:09,Buyer_4,bid,0
2024-11-30 20:12:09,Buyer_5,bid,0
2024-11-30 20:12:10,Buyer_6,bid,0
2024-11-30 20:12:10,Buyer_7,bid,0
2024-11-30 20:12:11,Buyer_8,bid,0
2024-11-30 20:12:11,Buyer_9,bid,0
2024-11-30 20:12:11,Auctioneer,"The current bid is $1 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $1?",1
2024-11-30 20:12:12,Buyer_0,bid,1
2024-11-30 20:12:12,Buyer_1,bid,1
2024-11-30 20:12:12,Buyer_2,bid,1
2024-11-30 20:12:13,Buyer_3,bid,1
2024-11-30 20:12:13,Buyer_4,bid,1
2024-11-30 20:12:13,Buyer_5,bid,1
2024-11-30 20:12:14,Buyer_6,bid,1
2024-11-30 20:12:14,Buyer_7,bid,1
2024-11-30 20:12:14,Buyer_8,bid,1
2024-11-30 20:12:14,Buyer_9,bid,1
2024-11-30 20:12:14,Auctioneer,"The current bid is $2 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $2?",2
2024-11-30 20:12:15,Buyer_0,bid,2
2024-11-30 20:12:15,Buyer_1,bid,2
2024-11-30 20:12:16,Buyer_2,bid,2
2024-11-30 20:12:17,Buyer_3,bid,2
2024-11-30 20:12:17,Buyer_4,bid,2
2024-11-30 20:12:17,Buyer_5,bid,2
2024-11-30 20:12:18,Buyer_6,bid,2
2024-11-30 20:12:18,Buyer_7,bid,2
2024-11-30 20:12:19,Buyer_8,bid,2
2024-11-30 20:12:19,Buyer_9,bid,2
2024-11-30 20:12:19,Auctioneer,"The current bid is $3 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $3?",3
2024-11-30 20:12:19,Buyer_0,bid,3
2024-11-30 20:12:20,Buyer_1,bid,3
2024-11-30 20:12:20,Buyer_2,bid,3
2024-11-30 20:12:20,Buyer_3,bid,3
2024-11-30 20:12:21,Buyer_4,bid,3
2024-11-30 20:12:21,Buyer_5,bid,3
2024-11-30 20:12:22,Buyer_6,bid,3
2024-11-30 20:12:23,Buyer_7,bid,3
2024-11-30 20:12:23,Buyer_8,bid,3
2024-11-30 20:12:24,Buyer_9,bid,3
2024-11-30 20:12:24,Auctioneer,"The current bid is $4 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $4?",4
2024-11-30 20:12:24,Buyer_0,bid,4
2024-11-30 20:12:24,Buyer_1,bid,4
2024-11-30 20:12:25,Buyer_2,bid,4
2024-11-30 20:12:25,Buyer_3,bid,4
2024-11-30 20:12:25,Buyer_4,bid,4
2024-11-30 20:12:26,Buyer_5,bid,4
2024-11-30 20:12:26,Buyer_6,bid,4
2024-11-30 20:12:26,Buyer_7,bid,4
2024-11-30 20:12:27,Buyer_8,bid,4
2024-11-30 20:12:27,Buyer_9,bid,4
2024-11-30 20:12:27,Auctioneer,"The current bid is $5 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $5?",5
2024-11-30 20:12:28,Buyer_0,bid,5
2024-11-30 20:12:28,Buyer_1,bid,5
2024-11-30 20:12:29,Buyer_2,bid,5
2024-11-30 20:12:29,Buyer_3,bid,5
2024-11-30 20:12:29,Buyer_4,bid,5
2024-11-30 20:12:30,Buyer_5,bid,5
2024-11-30 20:12:30,Buyer_6,bid,5
2024-11-30 20:12:30,Buyer_7,bid,5
2024-11-30 20:12:31,Buyer_8,bid,5
2024-11-30 20:12:31,Buyer_9,bid,5
