Timestamp,Agent,Action,Current Price
2024-11-30 15:11:27,Auctioneer,"The current bid is $0 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $0?",0
2024-11-30 15:11:28,Buyer_0,bid,0
2024-11-30 15:11:28,Buyer_1,bid,0
2024-11-30 15:11:29,Buyer_2,bid,0
2024-11-30 15:11:29,Buyer_3,bid,0
2024-11-30 15:11:29,Buyer_4,bid,0
2024-11-30 15:11:30,Buyer_5,bid,0
2024-11-30 15:11:30,Buyer_6,bid,0
2024-11-30 15:11:31,Buyer_7,bid,0
2024-11-30 15:11:31,Buyer_8,bid,0
2024-11-30 15:11:32,Buyer_9,bid,0
2024-11-30 15:11:32,Auctioneer,"The current bid is $1 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $1?",1
2024-11-30 15:11:32,Buyer_0,bid,1
2024-11-30 15:11:32,Buyer_1,bid,1
2024-11-30 15:11:33,Buyer_2,bid,1
2024-11-30 15:11:33,Buyer_3,bid,1
2024-11-30 15:11:33,Buyer_4,bid,1
2024-11-30 15:11:34,Buyer_5,bid,1
2024-11-30 15:11:34,Buyer_6,bid,1
2024-11-30 15:11:34,Buyer_7,bid,1
2024-11-30 15:11:35,Buyer_8,bid,1
2024-11-30 15:11:35,Buyer_9,bid,1
2024-11-30 15:11:35,Auctioneer,"The current bid is $2 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $2?",2
2024-11-30 15:11:36,Buyer_0,bid,2
2024-11-30 15:11:36,Buyer_1,bid,2
2024-11-30 15:11:37,Buyer_2,bid,2
2024-11-30 15:11:37,Buyer_3,bid,2
2024-11-30 15:11:38,Buyer_4,bid,2
2024-11-30 15:11:38,Buyer_5,bid,2
2024-11-30 15:11:39,Buyer_6,bid,2
2024-11-30 15:11:39,Buyer_7,bid,2
2024-11-30 15:11:39,Buyer_8,bid,2
2024-11-30 15:11:40,Buyer_9,bid,2
2024-11-30 15:11:40,Auctioneer,"The current bid is $3 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $3?",3
2024-11-30 15:11:40,Buyer_0,bid,3
2024-11-30 15:11:41,Buyer_1,bid,3
2024-11-30 15:11:41,Buyer_2,bid,3
2024-11-30 15:11:42,Buyer_3,bid,3
2024-11-30 15:11:42,Buyer_4,bid,3
2024-11-30 15:11:42,Buyer_5,bid,3
2024-11-30 15:11:43,Buyer_6,bid,3
2024-11-30 15:11:43,Buyer_7,bid,3
2024-11-30 15:11:44,Buyer_8,bid,3
2024-11-30 15:11:45,Buyer_9,bid,3
2024-11-30 15:11:45,Auctioneer,"The current bid is $4 for Lightly played Alakazam Holofoil Pokemon Card, valued at $28.25 on TCGPlayer. Do I hear any advance on $4?",4
2024-11-30 15:11:45,Buyer_0,bid,4
2024-11-30 15:11:45,Buyer_1,bid,4
2024-11-30 15:11:46,Buyer_2,bid,4
2024-11-30 15:11:46,Buyer_3,bid,4
2024-11-30 15:11:47,Buyer_4,bid,4
2024-11-30 15:11:47,Buyer_5,bid,4
2024-11-30 15:11:48,Buyer_6,bid,4
2024-11-30 15:11:48,Buyer_7,bid,4
2024-11-30 15:11:49,Buyer_8,bid,4
2024-11-30 15:11:49,Buyer_9,bid,4
